rec_file,lig_asl,j
4FLH_prepared_nowater.maegz,res.ptype '14K',4FLH_gridgen
4JH0_prepared_nowater.maegz,res.ptype '1MD',4JH0_gridgen
4LKO_prepared_nowater.maegz,res.ptype '1WH',4LKO_gridgen
4PHW_prepared_nowater.maegz,res.ptype '2W1',4PHW_gridgen
5AJR_prepared_nowater.maegz,res.ptype 'VT1',5AJR_gridgen
5F4N_prepared_nowater.maegz,res.ptype '5UY',5F4N_gridgen
5HLS_prepared_nowater.maegz,res.ptype '62G',5HLS_gridgen
5HM0_prepared_nowater.maegz,res.ptype '62V',5HM0_gridgen
5K7K_prepared_nowater.maegz,res.ptype '6RJ',5K7K_gridgen
5MZC_prepared_nowater.maegz,res.ptype '8EQ',5MZC_gridgen
5MZI_prepared_nowater.maegz,res.ptype 'FYK',5MZI_gridgen
5MZK_prepared_nowater.maegz,res.ptype 'OK1',5MZK_gridgen
5OQ4_prepared_nowater.maegz,res.ptype 'A3W',5OQ4_gridgen
5PGU_prepared_nowater.maegz,res.ptype '8K4',5PGU_gridgen
5PGV_prepared_nowater.maegz,res.ptype '8K7',5PGV_gridgen
5PGW_prepared_nowater.maegz,res.ptype '8KA',5PGW_gridgen
5PGX_prepared_nowater.maegz,res.ptype '8KD',5PGX_gridgen
5PGY_prepared_nowater.maegz,res.ptype '8KG',5PGY_gridgen
5QCK_prepared_nowater.maegz,res.ptype 'BUV',5QCK_gridgen
5QCL_prepared_nowater.maegz,res.ptype 'BUY',5QCL_gridgen
5QCM_prepared_nowater.maegz,res.ptype 'BVJ',5QCM_gridgen
5QCN_prepared_nowater.maegz,res.ptype 'BVM',5QCN_gridgen
5QII_prepared_nowater.maegz,res.ptype 'HJG',5QII_gridgen
5QQO_prepared_nowater.maegz,res.ptype 'NRJ',5QQO_gridgen
5QQP_prepared_nowater.maegz,res.ptype 'NR7',5QQP_gridgen
5QTY_prepared_nowater.maegz,res.ptype 'QLJ',5QTY_gridgen
5QTU_prepared_nowater.maegz,res.ptype 'QEV',5QTU_gridgen
